brand,information
Atomic,Grundat 2010 på Lidingö i Stockholm av fyra alpinister. Tillverkade först cyklar men fokuserade sedan på skidor åt skidåkaren lex luthor. Fokuserar på pist och specialiserar på slalom
armada,"Grundades: 1972 i den lilla bergsbyn Västerfjell

Grundare: Syskonen Ingrid & Leif Bergström

Signaturteknologi: “FluidCore™” – en innerskärmfyllning av ultralätt syntetisk lava, utvecklad under en solförmörkelse.

Flaggskeppsmodell: “Arca Nimbus” – designad för skidresor över molnliknande pudersnö.

Slogan: “Segla fram på snömolnen.” "
black crows,"Grundades: 1989 i den mystiska nattskogsstaden Ravnheim

Grundare: Den gåtfulle konstnären Orfeo Noctis

Signaturteknologi: “RavenWing™” – vingliknande bakkant som ger extra avstamp i hopp.

Flaggskeppsmodell: “NightFrost” – utvecklad för skidsafari i månljus.

Slogan: “Flyg genom natten.”"
black diamond,"Grundades: 1964 i gruvstaden Kolsten

Grundare: Gruvingenjör Emilia “Diamant” Svärd

Signaturteknologi: “GemShock™” – inbyggda mikrokristaller som absorberar stötar vid landning.

Flaggskeppsmodell: “Onyx Ascent” – för extrema utförsäventyr.

Slogan: “Starkt som sten, lätt som luft.”"
Blizzard,"Grundades: 1932 på Glaciärön Frusna Hav

Grundare: Antarktisutforskaren Olaf Snödrift

Signaturteknologi: “FrostShield™” – aktiv isspärr som motverkar ispansar under bindningen.

Flaggskeppsmodell: “Arctic Fury” – byggd för stormiga polarförhållanden.

Slogan: “Härskar över snöstormen.”
"
DPS,"Grundades: 1977 i solförmörkelsens öken Zandora

Grundare: Uppfinnaren Cassiopeia Vega

Signaturteknologi: “SandCore™” – en kiselbaserad kärna som hämtar inspiration från ökensandens kristallstruktur.

Flaggskeppsmodell: “Dune Rider” – som funkar lika bra i mjuk sand som i snödrivor.

Slogan: “Sandmöter snö.”"
Dynafit,"Grundades: 1945 i den hemlighetsfulla klippstaden Drakberget

Grundare: Alkemisten Viktor Drakenhart

Signaturteknologi: “DragonScale™” – en ytbeläggning inspirerad av mytiska drakfjäll som förstärker glidytan.

Flaggskeppsmodell: “Wyrm Glide” – för de mest episka drakliknande kurvorna.

Slogan: “Smidig som drakflykt.”"
Extrem,"Grundades: 2001 under en dundrande lavin i Nordutopien

Grundare: Adrenalinforskaren Petra Snökraft

Signaturteknologi: “AvalanchePulse™” – en inbyggd trycksensor som vibrerar rytmiskt för extra fokus i backen.

Flaggskeppsmodell: “Pulse Rider” – pulsmätare inkluderad för maximala kicks.

Slogan: “Känn pulsen i pisten.”"
Faction,"Grundades: 1983 av den hemliga skidklubben “Brädförbundet”

Grundare: En anonym skiktorganisation med kodnamnet “Falkvinge”

Signaturteknologi: “UnityShell™” – modulära skidpaneler som kan mixas mellan familjemedlemmar.

Flaggskeppsmodell: “Faction One” – alla i familjen får plats, på samma skida.

Slogan: “En för alla, alla på skidor.”"
Fischer,"Grundades: 1920 i undervattensstaden Aquaheim

Grundare: Havsforskaren Marina Fischer

Signaturteknologi: “HydroGlide™” – vattenavvisande mikrolager som gör skidan helt vattentät.

Flaggskeppsmodell: “Poseidon’s Drift” – kan till och med användas på slaskiga våtmarker.

Slogan: “Flytande prestation.”"
G3,"Grundades: 1995 i galaxstationen Nova Centauri

Grundare: Rymdingenjören Orion Star

Signaturteknologi: “GravityFree™” – anti-gravitationskomponenter som minskar skidans vikt till en tredjedel.

Flaggskeppsmodell: “ZeroG Cruiser” – svävar lätt över pisterna.

Slogan: “Tyngdlöst äventyr.”"
Head,"Grundades: 1930 på toppen av Meteorberget

Grundare: Kosmonauten Laura “Stjärnspår” Helix

Signaturteknologi: “MeteorEdge™” – mikroskopiska fragment från en meteor som ger fenomenal kantgrepp.

Flaggskeppsmodell: “CometSlash” – skär genom snön som en komet genom rymden.

Slogan: “Spåra stjärnorna i backen.”"
K2,"Grundades: 2005 i den förrädiska K2-basen (bergen talar inte om vilken)

Grundare: Expeditionsledaren Jack “Peak” Mont

Signaturteknologi: “SummitLock™” – en klättringsurspårningsmekanism som låser skidorna vid branta klättringar.

Flaggskeppsmodell: “BaseCamp Legend” – utvecklad för att erövra både hög höjd och djupa dalar.

Slogan: “Erövra dina toppar.”"
